genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene15600,0,0,1,0,2,0,0,0,0,0,1,2,1,1,0,3,0,2,1,0
gene15601,0,0,0,0,0,0,0,0,0,0,0,0,1639,4,197,1066,15,74,1442,825
gene15602,0,0,0,0,0,0,0,0,0,0,0,16,109,18,0,0,5,543,0,0
gene15603,3,2,13,15,4,29,3,6,1,1,2,0,0,0,1,1,3,0,0,2
gene15604,1,2,4,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
gene15605,1163,0,0,13,0,0,194,0,284,5,1,0,0,32,37,151,0,0,0,0
gene15606,13,126,2,0,1658,0,0,2937,218,0,3,0,692,0,1,0,22,0,0,7
gene15607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15608,0,0,47,88,1,31,712,8,1,10,2,0,0,0,27,1,83432,20602,0,19
gene15609,0,0,0,0,0,0,2,1,2,5,0,33,0,1,0,0,0,0,6,0
gene15610,0,0,1,0,0,0,0,0,1,0,6,54,0,0,152,0,0,0,0,0
gene15611,0,1,14,0,0,0,11,0,0,65,2,38,0,8,1,0,0,80,44,194
gene15612,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0
gene15613,525,2722,0,0,0,0,0,542,0,39410,1,0,2,0,2,2,2,7,0,0
gene15614,0,0,88854,16,0,0,0,0,0,0,21,0,0,0,1945,0,22,15,2,0
gene15615,0,0,0,0,0,0,0,0,0,0,4,5,2,2,0,0,0,1,3,1
gene15616,0,0,0,0,0,0,202,3138,0,0,3,7,1,11,0,0,0,3,0,2
gene15617,0,0,1,1,3,0,0,0,0,0,0,0,3,0,0,2,0,5,4,6
gene15618,1,0,0,0,0,0,1,0,0,0,0,0,86,956,0,7,0,5,1849,0
gene15619,2,140593,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15620,0,0,1,1,0,0,0,0,1,1,0,0,6,0,0,714,12,1,10,0
gene15621,11,1,19,8,273,0,3,0,0,0,2,0,1,0,0,0,1,0,0,0
gene15622,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene15623,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
gene15624,3413,30,0,30,0,0,553,10477,0,0,1,0,14,0,57,0,0,0,0,0
gene15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15626,0,0,0,0,0,0,0,0,0,0,0,4,2,1,6,3,4,1,0,2
gene15627,1,2,1,4,1,2,0,2,3,0,0,0,0,0,1,0,0,0,0,0
gene15628,0,0,2521,67,0,43843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15629,0,0,58,20,6,90,2,2,0,0,196,23,0,881,3,1,19,23,0,24
gene15630,0,0,0,0,1,0,0,0,0,0,1,0,12,0,0,12,1,2,0,26
gene15631,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,1,1,1,1,0
gene15632,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
gene15633,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gene15634,0,0,0,0,0,2,0,0,0,1,30,4,59,31,46,55,66,51,29,7
gene15635,0,0,0,0,0,0,0,0,0,0,412,0,0,203,0,0,0,0,0,0
gene15636,0,2,0,1,0,1,0,1,1,2,50526,0,961,0,6069,0,0,0,1582,0
gene15637,0,0,144,0,0,0,0,0,0,0,1,1,55,39,3,20,0,3,2,0
gene15638,17186,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15639,1,0,483,0,42,31,0,21,5,0,1,0,15,25,0,85,21,0,26,0
gene15640,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,0,2,1
gene15641,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
gene15642,2,1,0,0,0,1,0,0,0,0,2071,1345,0,0,48,0,130,0,741,0
gene15643,0,0,4,2,0,0,0,2,0,1,1,0,0,0,0,174,1,0,22,22455
gene15644,0,2,0,0,0,0,1,0,0,0,0,0,11609,0,30,0,0,0,0,0
gene15645,0,9,1,14,0,2,2,51,3,11,0,0,0,0,0,0,0,0,0,0
gene15646,0,0,0,0,0,1,0,2413,772,537,0,1,2,1,1,0,2,2,0,0
gene15647,8585,40617,38262,0,56,3607,53,925264,65216,66295,36,0,88,1,0,0,0,321,0,0
gene15648,0,0,0,560,1,3,1,338,0,99,706,3438,142,0,2470,3486,362,1933,0,2
gene15649,0,0,2,43,0,2,9,0,180,1,92,25,3,26,206,4,39,501,1,7
gene15650,0,7721,2087,0,6,47,179,372,472,415,120,1,188,5,0,13,0,0,1,4
gene15651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15652,1,0,0,0,0,1,3,8,0,0,0,0,0,0,509,2185,0,0,1,0
gene15653,0,0,85,0,2,0,3,1,8,0,2,0,0,0,1,1,1,5,4,0
gene15654,0,807,0,0,217,14,0,0,0,11,200,0,0,0,0,0,0,0,0,0
gene15655,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
gene15656,38,988,536,4,54,52,189,0,191,94,0,0,0,0,0,0,0,0,0,0
gene15657,0,137,121,823,9,661,0,0,0,436,0,2,16,0,6,0,10,28,1,38
gene15658,9,0,0,1,5,0,0,0,0,0,1,467,14,148,0,0,0,0,0,0
gene15659,36,0,242,0,163,0,391,0,8,30,5,0,20,0,0,0,0,0,13508,854
gene15660,0,0,0,0,0,0,0,0,0,0,17,0,0,1,66,0,0,198,0,0
gene15661,0,0,0,0,0,0,0,0,0,1,39562,1791,0,32,722,1452,269522,284,22841,99
gene15662,0,0,0,0,0,0,0,0,0,0,1441,269,26,20127,0,0,0,11,0,0
gene15663,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,5991,0,0,0,0
gene15664,0,1942,1,2072,0,1,0,2,29,1,0,1,0,2,0,0,0,0,0,2
gene15665,0,0,0,1,11,2,0,0,80,3,9,40,21,7,1,0,5,4,0,6
gene15666,0,125,78,1,199,0,0,0,31297,0,0,4,6820,19,3779,7,313,53,241,1509
gene15667,1,0,4,4,4,4,8,9,12,4,113,16,2622,17,163,0,398,2,0,1
gene15668,0,5,0,1,1,1,2,0,2,2,0,24620,0,0,0,0,0,0,0,0
gene15669,17,4,0,6,491,1301,179,0,0,486,0,0,1,0,2,0,0,0,1,1
gene15670,0,0,3,294,0,0,0,1,0,35,0,1,0,208,13,0,0,31,15,181
gene15671,0,0,2,0,0,1,0,0,0,57699,2,0,1,0,1,0,2,6,1,0
gene15672,0,0,394,3,0,40874,0,2345,0,0,0,1,1,1,0,0,0,0,1,0
gene15673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15674,1,2,1,3,2,0,3,2,4,3,1,2,0,16,81,4,49,0,0,21
gene15675,468,0,0,0,0,6,3,0,0,232,0,0,1,0,0,1,1,0,0,0
gene15676,0,0,0,0,8265,0,994,0,0,0,3,23,6,12,35,4,1,3,29,5
gene15677,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
gene15678,0,0,2155,73,0,2,4912,1937,7183,760,174,0,0,12,16,70,0,0,0,0
gene15679,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,2,0
gene15680,0,5,64,1873,66,0,0,881,787,1697,0,0,0,0,0,0,0,0,0,0
gene15681,12,23,2,0,27,0,0,52,62,10,0,592,0,0,0,0,0,0,0,0
gene15682,0,0,0,0,0,0,0,0,0,1,1,0,6,2,8,2,5,2,3,9
gene15683,495,246,991,1,9,45,111,286,3,792,10,31,21,52,38,3,235,12,35,0
gene15684,0,0,0,0,0,0,0,0,0,4349,84,2,0,1,0,0,1,1,11,4
gene15685,57,405,347,28,11,889,0,1052,15,80,0,1,2,0,0,9,0,9,2,5
gene15686,15542,0,13088,0,0,0,245,162,955,11,0,0,0,0,0,0,0,0,0,0
gene15687,0,6,0,0,0,0,4,0,15286,0,1,2,2,1,12,5,3,13,3,7
gene15688,1,0,0,1,0,1,0,0,0,0,5,0,0,1,22,0,0,206,0,0
gene15689,0,0,0,0,0,0,0,0,4,4,0,2,1,2,0,0,0,0,0,0
gene15690,0,0,5732,303,0,0,24,0,39018,0,0,0,1,0,0,0,0,0,0,0
gene15691,252,2,0,36,399,31,22,25,0,21,0,4,4,6,9,7,7,0,0,0
gene15692,0,0,0,0,0,0,2,0,0,1,99,26,60,10,15,16,19,11,18,21
gene15693,36299,16,22641,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,1
gene15694,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,1
gene15695,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
gene15696,0,1,2,0,0,0,0,0,0,0,15,0,0,3,0,94,0,0,7,5
gene15697,0,410439,23560,0,48996,1631,47,12,38987,164154,0,1,4,0,0,5,1,0,0,3
gene15698,0,0,0,0,0,115,0,1,0,0,0,2,323,5,0,2,1,0,0,0
gene15699,0,0,0,2,41,0,0,16,8,0,0,0,0,0,0,0,0,0,0,1
gene15700,0,0,0,0,1,0,0,0,0,0,22,2214,307,0,8,671,137,1869,962,637
gene15701,164,81,43,20,12,66,135,16,84,70,1,0,6,2,0,0,9,3,1,1
gene15702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15703,53,30,0,0,0,300,0,0,0,14,49929,0,0,3,0,2,776,0,135,754
gene15704,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0
gene15705,0,0,0,0,0,0,0,0,0,0,483,0,78,0,348,0,694,0,836,32
gene15706,1,0,0,0,0,0,0,0,1,0,2,0,0,6,4,18,6,7,2,3
gene15707,0,0,0,199,0,0,41,0,0,0,0,0,0,0,0,1,0,1,0,0
gene15708,0,0,1,2,0,1,0,2,0,2,0,76438,24,0,4,0,0,0,4889,0
gene15709,8,0,0,29,0,18,25,3,0,2,5,2840,26,2753,1,0,104,825,186,252
gene15710,1,0,0,0,0,0,0,0,0,0,51620,201,3,0,0,0,0,0,0,60
gene15711,0,0,19,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
gene15712,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
gene15713,0,0,0,0,0,0,0,0,1,0,0,88,2,0,0,87,0,8,0,0
gene15714,1,0,0,1,0,0,1,0,0,1,11,0,0,0,137,0,0,0,26689,0
gene15715,0,0,14,0,0,1,0,0,0,1,666771,0,0,0,0,0,0,0,0,0
gene15716,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,618,0,0,11236,3030
gene15717,229,15,4,1,24,0,0,1,0,56,32,26,0,0,4,0,2,1,55,11
gene15718,0,105,0,0,0,12,127,0,0,0,9412,0,0,2,117,0,16,1,0,205
gene15719,0,9,86,13,29,25,372,239,0,0,0,0,0,0,0,0,0,0,0,0
gene15720,4,0,0,0,11,0,12,2,33,0,0,1,0,0,7803,4,0,13766,13413,0
gene15721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15722,0,0,97,0,1,0,0,2,0,0,0,1,4,100,52,0,0,0,11,7
gene15723,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,9,0,0
gene15724,1,39,9,0,74,83,190,0,135,31,0,0,0,0,0,0,0,0,0,0
gene15725,4,0,0,0,1,2,0,3,0,0,67,19,7,17,7,37,10,25,53,2
gene15726,0,0,2,0,0,1,3,1,4,2,1,3,0,0,1,0,0,0,1,2
gene15727,177,28,10078,0,0,0,8418,1,42,0,77,8,0,0,0,5,11,16,10,5
gene15728,5,114,369,76,1692,0,624,0,1,87,1373,0,17,26,16,0,4566,0,0,1
gene15729,73,3,0,1,237,0,839,0,1,1,1,3,2,0,1,0,0,3,0,0
gene15730,0,0,0,0,3057,0,0,6,187,0,0,0,0,0,0,0,1,0,0,0
gene15731,16,0,0,31,12,0,22,2,0,2,7,818,0,4731,1,307,7402,555,8,2
gene15732,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1,0,0,0,6,2
gene15733,408,492,149,586,551,151,2011,1085,106,2259,28,9,6,0,0,0,41,0,3,0
gene15734,2,2,0,0,4,2,1,0,2,2,0,22664,18,0,0,0,19,0,0,0
gene15735,0,0,0,0,0,1,1,0,0,0,0,0,759,4,1368,4,323,0,5,2
gene15736,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene15737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gene15739,0,19,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0
gene15740,0,0,0,19,0,2,4540,0,0,12463,0,0,0,0,10,0,0,0,0,1
gene15741,0,1,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1
gene15742,0,2202,0,0,173,2,4,103,0,53,0,0,9,1,0,1,3,2,1,2
gene15743,0,0,41,0,0,0,0,0,0,57,10,16,1,0,13,0,1,0,1,8
gene15744,401,55,41,112,136,27,90,265,69,95,0,1,2,0,0,0,2,0,1,0
gene15745,0,28403,0,0,0,22284,0,0,0,26,0,0,0,0,0,0,0,0,0,0
gene15746,0,0,0,0,0,0,0,0,0,0,0,0,5805,0,0,0,0,9,1064,761
gene15747,0,0,0,1,0,0,0,0,1,0,673,2,2,22,0,0,0,0,0,0
gene15748,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,13,1,0,7
gene15749,0,1,0,1,0,2,3,5,2,3,2,1,1,7,0,1,2,0,5,5
gene15750,12243,741,0,61,90,84,0,0,838,0,95,0,6,0,0,0,93,37,5,0
gene15751,2,0,0,1,0,2,1,1,0,0,0,0,3,1,1,1,0,0,0,0
gene15752,0,0,3,0,19,0,1,1,16,0,0,0,0,7,0,3,0,0,3,0
gene15753,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
gene15754,0,0,0,0,0,0,0,0,0,0,879,0,147,26102,4,0,30,7,207,1
gene15755,1,1,0,1,0,3,0,0,1,0,0,0,0,48,0,0,0,4,0,0
gene15756,0,0,0,0,0,1,0,0,0,19,0,19236,4,1,5090,3,51,182,20,1825
gene15757,5003,26,0,0,0,0,19349,204,0,6063,262,9,0,0,1093,2,0,1693,0,0
gene15758,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0
gene15759,0,2,4,30,0,2,0,0,5,0,931,19050,0,138,22,170,1,0,4,592
gene15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15761,4,0,13,1,1,0,1,0,12,0,1,2,0,0,0,0,1,1,0,0
gene15762,14,50,13,27,3,8,1,2,1,2,4,0,11,0,0,0,555,0,33,61
gene15763,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15764,0,0,0,0,0,0,0,0,0,0,0,1083,11,0,0,0,0,0,485,0
gene15765,7437,1,250,514,553,232,87607,18776,3382,0,2844,282,1,105,0,354,0,1000,0,1045
gene15766,0,0,0,0,11676,0,1,0,0,0,0,19,0,195,19,1,0,27,0,0
gene15767,0,0,0,1,0,0,0,0,0,0,699,0,2832,0,0,0,2,0,0,8
gene15768,1932,901,0,1847,1017,1,1373,190,1,787,0,0,0,0,0,0,0,0,0,0
gene15769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0
gene15770,0,243,0,297,0,128,2522,0,0,33,4,0,0,27,0,0,178,1,0,0
gene15771,5921,98,9612,402,91,1,0,11781,162,1745,0,0,0,1,0,1,0,0,0,1
gene15772,0,0,0,0,0,0,0,0,0,0,0,327,0,26,242,0,0,30,2087,4148
gene15773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15774,0,0,0,1,0,0,0,1,0,0,0,0,999,1,0,1165,0,224,195,0
gene15775,0,3,8,4,2,1,8,11,2,6,303,8,235,0,5,1874,0,64,241,0
gene15776,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,1
gene15777,1,0,14,0,20,0,1,0,117,0,1,3,2,0,1,0,1,0,5,7
gene15778,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,63257,0,0,14,95
gene15779,0,149707,0,0,0,0,0,0,0,0,0,94,0,266,16,43,0,0,0,1
gene15780,0,0,0,0,0,0,0,0,0,0,0,2801,9,3,319,0,3774,0,4335,41
gene15781,0,0,0,0,0,0,0,0,0,61,0,1,5,0,0,0,0,0,0,4
gene15782,1,0,0,0,0,0,0,0,0,0,0,0,2,71,33,0,0,0,0,1
gene15783,4,6,0,1,0,0,0,2,4,2,0,0,76291,0,5762,0,0,648,19119,0
gene15784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15785,5,0,360,373,240,1,55,1,0,233,0,6939,141,8,6532,0,10852,16,22622,9
gene15786,1,1,1,2,3,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0
gene15787,0,9,0,10,2,0,1,0,50,0,0,0,0,0,2,1,0,0,0,0
gene15788,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
gene15789,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0
gene15790,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15791,0,0,0,0,24,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
gene15792,1,0,0,0,4,0,0,1,1,0,107,77,37,22,27,451,30,4,370,0
gene15793,3389,5726,0,5048,0,42,0,0,0,4,0,0,0,0,5686,125,2,6571,0,0
gene15794,1,1,16,2,1,0,0,0,3,0,6,564,221,208,46,66,516,897,599,0
gene15795,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
gene15796,0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,6,4499,0,0
gene15797,0,0,0,61,5,0,1356,4,19,0,0,0,0,2390,0,56,0,0,0,11
gene15798,294,1,4,176,71,0,0,0,0,115,7,0,9,0,65,0,14,0,0,0
gene15799,0,0,500,3964,0,0,0,1414,0,0,72,9,324,81,90,17,250,10,20,10
gene15800,4,3,0,7,1,0,4,3,1,0,0,3,0,1,2,0,0,0,1,2
gene15801,0,0,0,0,0,0,0,0,0,0,0,91,0,9614,8168,670,515,0,0,0
gene15802,0,1,1,0,3,0,3,0,2,2,0,0,0,0,0,0,0,0,0,1
gene15803,1,65,0,5539,2690,11064,82,0,10,0,0,2,0,0,4,1,1,1,3,0
gene15804,0,128,27,0,1,0,0,0,15,334,0,0,0,2,5,5176,0,9,0,0
gene15805,0,0,0,0,0,1,1,1,0,0,0,7,0,0,0,1,1,52,249,76
gene15806,0,0,0,565,3,0,243,0,0,0,31,0,14,24,0,0,98,2,5,0
gene15807,0,0,0,3,0,0,0,0,50,0,0,0,0,6,7,7,0,2,1,1
gene15808,5071,0,0,0,16,50,21,2327,8836,0,0,0,0,0,0,0,0,0,0,0
gene15809,1,0,1,2,1,2,0,0,0,0,6,4,0,13,0,4,8,16,5,0
gene15810,0,0,0,0,48,0,0,159,46,0,0,0,2596,0,0,40,15,0,0,0
gene15811,1,2,3,0,1,0,6,2,1,0,0,0,0,0,3,0,0,0,0,108
gene15812,2,1,1,0,0,3,0,1,0,1,18,0,952,13924,0,0,0,0,18,1087
gene15813,3,9,160,9,4,0,44,206,231,28,0,0,0,0,1,0,0,0,0,0
gene15814,0,0,0,0,0,0,0,0,0,0,151,28,1,57,71,64,168,163,65,2
gene15815,0,2,416,1,11,1350,2,3214,77,1753,348,2121,117,93,255,526,0,0,0,1846
gene15816,19235,34781,5668,4724,1386,4478,5957,3154,216,1,1,1,0,0,1,1,0,0,0,0
gene15817,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
gene15818,0,1,0,1,1,0,0,0,1,2,0,0,0,3,0,6,0,2,1,11
gene15819,0,0,0,0,0,0,0,0,0,0,0,807,31,1149,1503,2021,11,251,868,617
gene15820,0,0,0,0,0,0,0,0,0,0,238,48,23653,9,306,0,1106,0,6,52
gene15821,0,0,0,0,4233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
gene15822,990,39,0,0,57,0,0,1,0,0,314,1799,157,0,6,0,1143,18,0,0
gene15823,9,14,49,99,147,33,52,299,17,207,0,0,1,1,0,0,0,0,0,0
gene15824,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
gene15825,0,18,10,0,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,1
gene15826,0,777,3,187,0,58,261,196,220,1142,0,0,0,0,0,0,0,0,0,0
gene15827,3414,4884,26,1,4968,2,0,2558,0,681,1,64,280,74,42,0,1767,0,5,363
gene15828,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gene15829,2537,0,29,0,94,900,0,218,42,0,1540,1137,21,116,1571,1,414,68,69,145
gene15830,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
gene15831,0,0,128,161,882,0,340,0,318,19,0,0,0,0,0,0,0,1,0,0
gene15832,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
gene15833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
gene15834,6,13,2,0,5,7,2,7,7,2,0,0,0,0,1,0,0,0,0,0
gene15835,3362,417,0,0,883,14,52417,10675,22766,364,14,0,0,11,0,2,1,6,2,2
gene15836,3,5,0,8,3,2,9,5,10,3,1,1,42,7992,32,0,17,0,291,11
gene15837,0,0,0,0,0,0,0,0,2,0,0,0,0,0,44,4,0,0,0,5
gene15838,1,0,1,0,80,0,638,237,255,362,0,6,60,185,12,39,1,76,1,0
gene15839,0,0,0,1,5,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0
gene15840,1,2,33,11,64,107,3,1,0,3,0,0,0,0,0,0,0,0,1,0
gene15841,0,1,0,1,0,0,1,27,0,0,0,0,0,0,0,0,0,1,0,0
gene15842,0,1,2,0,0,0,0,0,0,0,2,0,6,2,4,1,0,3,1,2
gene15843,0,0,0,31,0,2,2,0,0,0,52,15,0,15,0,0,3,1,0,0
gene15844,3868,0,0,0,0,0,0,0,1871,0,0,0,0,0,0,0,0,0,0,0
gene15845,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15846,1,0,0,0,0,0,0,0,0,0,329,0,0,202,1927,0,0,137,9,0
gene15847,0,0,6,0,10245,0,0,0,0,0,0,0,0,0,0,0,120,177,0,0
gene15848,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,1,5
gene15849,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0
gene15850,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
gene15851,95,35,118,0,183,22,26,13,18,94,2,0,0,1,0,1,0,1,4,1
gene15852,0,0,0,0,0,0,0,0,0,0,1045,4,68,5,134,375,0,0,69,113
gene15853,0,2193,281,0,11,9368,201,392,2771,933,0,5,0,0,0,19,0,0,1287,0
gene15854,2,6,6,0,4,9,15,1,33,1,0,0,0,0,0,1,0,0,0,0
gene15855,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0
gene15856,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,10,2,0,0,0
gene15857,0,10,0,1786,1245,0,0,53,159,0,0,0,0,0,0,0,0,0,0,0
gene15858,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15860,95,19,103,160,92,74,285,102,12,280,0,326,0,328,0,0,0,291,1306,0
gene15861,37,0,346,4722,62,235,0,0,0,0,1387,1,0,21,2,0,3,331,0,0
gene15862,1,0,2,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1
gene15863,551,3316,0,51,1458,0,0,0,0,22075,0,0,0,0,0,0,0,0,0,0
gene15864,0,0,53,2,0,0,1,0,0,0,14,20,6,0,0,2,1,3,2,43
gene15865,0,0,0,1,1,0,0,0,0,0,44,9,21,29,24,95,13,52,20,27
gene15866,0,227,0,0,570,389,5,0,0,121,1,1,0,1,0,2,0,10,2,1
gene15867,1,1,0,0,1,1,0,2,1,1,0,0,0,28,0,0,34,0,0,0
gene15868,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15869,6,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15870,25,54,0,1,0,0,1,1,10,0,6,7,3,42,16,13,12,0,5,31
gene15871,9,29,4,10,12,9,20,18,16,15,0,0,0,696,0,0,1190,0,0,1778
gene15872,0,0,0,0,0,1,0,0,0,0,0,26,8363,0,0,1367,0,397,0,18
gene15873,18,0,0,0,0,0,0,0,0,7,5,0,0,0,6,3,2,0,2,3
gene15874,19,1460,779,0,255,0,0,1567,0,668,0,0,1,1,0,0,0,0,0,0
gene15875,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,1,96,0,33,0
gene15876,0,0,16502,2504,21,1,96,0,3353,2946,0,0,30,130324,0,23111,0,0,12,0
gene15877,0,0,0,1,0,0,1,1,0,0,0,10917,0,0,0,0,0,127,0,0
gene15878,23443,0,0,0,0,0,1,0,0,0,0,38,0,7,22,0,1364,4376,0,352
gene15879,0,257,31,18,1633,0,5687,8661,0,7,0,2406,182,3020542,110,54,5483,0,662838,0
gene15880,10720,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,1,2
gene15881,10,0,2,1,76,51,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gene15882,0,7,0,0,0,0,108,0,0,5,0,1,1,0,0,0,1,0,1,0
gene15883,0,0,0,0,0,0,0,0,0,0,2753,0,1197,419,0,0,0,0,1,0
gene15884,0,0,0,0,0,0,0,0,0,0,0,0,7709,12,0,13567,14057,0,0,0
gene15885,0,0,0,0,0,0,0,0,0,0,174,234,0,4,1452,0,0,160,0,384
gene15886,0,0,0,0,3,469,0,0,22,0,0,2,0,0,0,8,0,2,2,5
gene15887,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
gene15888,0,1000,1357,0,0,0,0,0,5093,1042,0,1,4,0,0,0,0,1,3,0
gene15889,0,0,19357,0,0,0,0,47972,116,427,0,0,0,0,0,0,0,0,1,0
gene15890,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0
gene15891,0,1,3,0,0,2,1,0,0,1,21,3,80,10,25,5,10,4,3,6
gene15892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
gene15893,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene15894,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,621,0,5,0,0
gene15895,3871,0,0,0,0,1531,0,726,52,0,0,0,37,0,0,14023,66,0,0,0
gene15896,0,0,0,15,140,0,2,0,4,0,0,1311,0,0,0,0,303,2615,804,5
gene15897,0,0,0,0,0,1,0,0,0,0,614,43451,757,0,169362,0,8460,0,84885,37652
gene15898,0,0,0,0,0,0,0,0,0,0,30880,90,148,61,854,1,5020,23,0,104
gene15899,0,0,1,1,4,13,0,13,3,15,0,0,0,25,0,110,0,0,0,0
gene15900,1,5,0,1,1,0,1,2,1,0,0,0,0,1511,0,0,972,0,691,0
gene15901,0,0,0,0,8,22,0,0,0,1283,0,0,0,1517,0,5266,0,6,0,0
